Pendidikan Tertinggi yang Ditamatkan,,
,Tingkat Pengangguran Terbuka menurut Pendidikan Tertinggi yang Ditamatkan di Provinsi Jawa Barat (Persen),
,Februari,Agustus
,2020,2020
SD ke Bawah,4.97,5.68
SMP,9.37,10.7
SMA,8.93,13.73
SMK,11.33,18.75
Diploma I/II/III,10.98,9.85
Universitas,6.25,10.19
