Pendidikan Tertinggi yang Ditamatkan,,
,Tingkat Pengangguran Terbuka menurut Pendidikan Tertinggi yang Ditamatkan di Provinsi Jawa Barat (Persen),
,Februari,Agustus
,2022,2022
SD ke Bawah,5.83,4.69
SMP,10.03,8.22
SMA,10.77,12.18
SMK,11.16,14.63
Diploma I/II/III,6.15,5.45
Universitas,7.38,5.71
