Pendidikan Tertinggi yang Ditamatkan,,
,Tingkat Pengangguran Terbuka menurut Pendidikan Tertinggi yang Ditamatkan di Provinsi Jawa Barat (Persen),
,Februari,Agustus
,2024,2024
SD ke Bawah,3.33,2.89
SMP,5.97,6.07
SMA,8.98,10.19
SMK,12.33,12.74
Diploma I/II/III,6.25,5.76
Universitas,8.34,5.53
