Pendidikan Tertinggi yang Ditamatkan,,
,Tingkat Pengangguran Terbuka menurut Pendidikan Tertinggi yang Ditamatkan di Provinsi Jawa Barat (Persen),
,Februari,Agustus
,2019,2019
SD ke Bawah,39.89,4.28
SMP,17.77,8.45
SMA,16.79,10.96
SMK,13.36,14.63
Diploma I/II/III,9.02,7.48
Universitas,3.18,6.84
