Pendidikan Tertinggi yang Ditamatkan,,
,Tingkat Pengangguran Terbuka menurut Pendidikan Tertinggi yang Ditamatkan di Provinsi Jawa Barat (Persen),
,Februari,Agustus
,2023,2023
SD ke Bawah,5.32,3.93
SMP,7.57,6.92
SMA,10.6,11.61
SMK,12.75,13.42
Diploma I/II/III,6.37,4.79
Universitas,7.58,4.77
