Pendidikan Tertinggi yang Ditamatkan,,
,Tingkat Pengangguran Terbuka menurut Pendidikan Tertinggi yang Ditamatkan di Provinsi Jawa Barat (Persen),
,Februari,Agustus
,2021,2021
SD ke Bawah,4.56,6.07
SMP,9.1,9.53
SMA,12.82,13.51
SMK,14.87,16.71
Diploma I/II/III,5.24,6.38
Universitas,8.43,7.21
